Found Excel: 原料汇总资料/美尔健报送原料统计&成分拆解表20260804.xlsx

================================================================================
Sheet: 导出数据20260603 (Rows: 146, Cols: 9)
Row 1: 序号 | 原料报送码 | 原料商品名 | 版本号 | 原料编码 | 生产商 | 生产商编码 | 状态 | 修改时间
Row 2: 1 | 248844-00075-5952 | 柏蕈净透因子 | 1.0 | 248844 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2026-06-03 16:04:00
Row 3: 2 | 247035-00075-1115 | 胎盘胶原 | 1.0 | 247035 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2026-05-08 09:26:00
Row 4: 3 | 246350-00075-1227 | 高渗透传明酸多肽 | 1.0 | 246350 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2026-04-24 17:30:19
Row 5: 4 | 246348-00075-5127 | MEGPEP 101 | 1.0 | 246348 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2026-04-24 17:27:46
Row 6: 5 | 227104-00075-3025 | 植物胶原 | 1.1 | 227104 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2026-04-17 15:15:46
Row 7: 6 | 244742-00075-3415 | COLTRIO™ MM01 | 1.0 | 244742 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2026-04-08 17:31:52
Row 8: 7 | 245060-00075-4880 | COLTRIO™ CP01 | 1.0 | 245060 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2026-04-08 17:15:53
Row 9: 8 | 244742-00075-6512 | BLY-MM01 | 1.0 | 244742 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2026-04-02 11:45:21
Row 10: 9 | 240347-00075-2843 | 婴儿菌桃胶发酵滤液 | 1.0 | 240347 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2026-01-20 10:10:06
Row 11: 10 | 237076-00075-2037 | 玫瑰PDRN环肽pro | 1.0 | 237076 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-12-02 15:42:45
Row 12: 11 | 211755-00075-5151 | cTDP环肽1000 | 1.0 | 211755 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-10-13 16:49:04
Row 13: 12 | 233510-00075-1952 | MEGPEP SFF | 1.0 | 233510 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-10-13 15:03:35
Row 14: 13 | 003417-00075-2364 | 重组Ⅰ型胶原蛋白冻干粉 | 1.0 | 003417 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-10-13 14:55:39
Row 15: 14 | 205396-00075-3290 | Super cleaner | 4.0 | 205396 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-09-08 16:26:41
Row 16: 15 | 231326-00075-7876 | 灵柏提取物 | 3.0 | 231326 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-09-05 14:42:28
Row 17: 16 | 003417-00075-6153 | 重组Ⅲ型胶原蛋白冻干海绵 | 2.0 | 003417 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-08-26 16:41:30
Row 18: 17 | 230458-00075-8181 | PDRN 环肽棒 PRO | 2.0 | 230458 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-08-26 09:15:20
Row 19: 18 | 230457-00075-9315 | MEGPEP TXOD | 3.0 | 230457 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-08-26 08:57:05
Row 20: 19 | 228921-00075-5873 | AminoFree | 2.0 | 228921 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-08-01 10:32:25
Row 21: 20 | 228500-00075-8547 | 高渗透XVII型胶原蛋白 | 1.0 | 228500 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-07-25 09:10:08
Row 22: 21 | 222867-00075-3692 | 重组Ⅰ型胶原蛋白 | 1.0 | 222867 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-07-25 09:05:57
Row 23: 22 | 218266-00075-7345 | 高渗透Ⅰ型胶原蛋白 | 1.0 | 218266 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-07-25 09:03:19
Row 24: 23 | 227107-00075-1678 | 4D植萃止痒舒缓因子 | 1.0 | 227107 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-07-10 10:32:19
Row 25: 24 | 227107-00075-5277 | 4D植萃舒缓精华 | 1.0 | 227107 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-07-04 17:58:03
Row 26: 25 | 227104-00075-7275 | 植物胶原 | 1.0 | 227104 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-07-04 17:45:29
Row 27: 26 | 227102-00075-5192 | 鹿茸多肽 | 1.0 | 227102 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-07-04 17:34:25
Row 28: 27 | 000001-00075-2087 | 重组Ⅲ型胶原蛋白冻干海绵 | 1.0 | 000001 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-07-01 10:48:12
Row 29: 28 | 007672-00075-3101 | 重组贻贝蛋白 | 1.0 | 007672 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-06-30 16:07:17
Row 30: 29 | 226787-00075-5278 | 高渗透重组三型胶原蛋白 | 1.0 | 226787 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-06-30 16:05:24
Row 31: 30 | 226783-00075-1603 | TFNpro | 3.0 | 226783 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-06-30 16:03:49
Row 32: 31 | 218266-00075-1959 | 5Dcollagen | 3.0 | 218266 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-06-30 16:01:54
Row 33: 32 | 226783-00075-1464 | 高渗透纤连蛋白 | 1.0 | 226783 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-06-30 15:59:29
Row 34: 33 | 226066-00075-6005 | 羊胎素 | 3.0 | 226066 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-06-19 10:54:14
Row 35: 34 | 225702-00075-8093 | JELFIPRO 0 型胶原蛋白 | 1.0 | 225702 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-06-13 15:56:47
Row 36: 35 | 225266-00075-1721 | 灵柏提取物 | 2.0 | 225266 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-06-07 16:43:55
Row 37: 36 | 003417-00075-3724 | 5Dcollagen powder | 1.01 | 003417 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-06-07 11:07:18
Row 38: 37 | 003417-00075-6110 | 5Dcollagen powder | 1.0 | 003417 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-06-07 10:35:12
Row 39: 38 | 141726-00075-2984 | Telastin | 1.01 | 141726 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-03-26 09:56:28
Row 40: 39 | 219646-00075-3961 | MEGCALM PGP | 2.01 | 219646 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-03-24 15:50:42
Row 41: 40 | 219365-00075-6463 | 聚能环肽 | 2.0 | 219365 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-03-24 15:10:07
Row 42: 41 | 219646-00075-9482 | MEGCALM PGP | 2.0 | 219646 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-03-24 14:47:02
Row 43: 42 | 219365-00075-3730 | 聚能环肽 | 1.01 | 219365 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-03-24 14:12:44
Row 44: 43 | 219401-00075-3752 | MELLPRO rECM 童颜水光蛋白 | 3.0 | 219401 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-03-21 15:57:02
Row 45: 44 | 219365-00075-8556 | 聚能环肽 | 1.0 | 219365 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-03-21 14:40:01
Row 46: 45 | 219361-00075-7512 | PDRN环肽棒PRO | 1.0 | 219361 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-03-21 14:22:53
Row 47: 46 | 219165-00075-8967 | MELLPRO rECM 童颜水光蛋白 | 2.0 | 219165 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-03-20 09:56:19
Row 48: 47 | 218266-00075-2738 | 超分子5D胶原蛋白 |  | 218266 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-03-10 15:53:38
Row 49: 48 | 132220-00075-5561 | 5Dcollagen | 2.01 | 132220 | 美尔健（深圳）生物科技有限公司 | 00075 | 登记完成 | 2025-01-03 16:12:41
